modality,chunk_size,seed,acc,auc,region
spatial,1600.0,15,61.904761904761905,0.6622718052738337,ncx
temporal,0.0,15,61.904761904761905,0.7139959432048681,ncx
temporal,100.0,15,58.73015873015873,0.6632860040567952,ncx
temporal,200.0,15,66.66666666666667,0.731237322515213,ncx
temporal,400.0,15,71.42857142857143,0.7596348884381338,ncx
temporal,800.0,15,66.66666666666667,0.7525354969574036,ncx
temporal,1600.0,15,74.60317460317461,0.7647058823529409,ncx
morphological,0.0,15,95.23809523809523,0.9959432048681542,ncx
morphological,100.0,15,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,15,98.41269841269842,0.995943204868154,ncx
morphological,400.0,15,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,15,96.82539682539681,0.9908722109533468,ncx
morphological,1600.0,15,96.82539682539681,0.9939148073022313,ncx
spatial,0.0,16,52.38095238095239,0.669371196754564,ncx
spatial,100.0,16,61.904761904761905,0.6947261663286004,ncx
spatial,200.0,16,58.73015873015873,0.6531440162271807,ncx
spatial,400.0,16,60.317460317460316,0.6531440162271805,ncx
spatial,800.0,16,53.96825396825397,0.6572008113590265,ncx
spatial,1600.0,16,57.14285714285714,0.6703853955375254,ncx
temporal,0.0,16,60.317460317460316,0.6805273833671399,ncx
temporal,100.0,16,57.14285714285714,0.6602434077079107,ncx
temporal,200.0,16,66.66666666666667,0.7251521298174443,ncx
temporal,400.0,16,73.01587301587301,0.7464503042596349,ncx
temporal,800.0,16,69.84126984126982,0.7586206896551724,ncx
temporal,1600.0,16,68.25396825396825,0.7606490872210953,ncx
morphological,0.0,16,96.82539682539681,0.9929006085192698,ncx
morphological,100.0,16,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,16,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,16,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,16,98.41269841269842,0.9949290060851927,ncx
morphological,1600.0,16,98.41269841269842,0.9959432048681542,ncx
spatial,0.0,17,50.79365079365079,0.6191683569979715,ncx
spatial,100.0,17,63.492063492063494,0.7028397565922919,ncx
spatial,200.0,17,60.317460317460316,0.6470588235294118,ncx
